Date,V39079,V39050,V39078,Canadian Overnight Repo Rate Average (CORRA) (%),V39076,V39077,OR,ORR,TARGET,ACTUAL,TERMREPOS,SEC_LEND,V39068,V39071,V39072,V39073,V39074
2026-06-29, , , , , , , 13280.0, 0.0, Not available, 77740, 0.0, 2829.0, , , , , 
2026-06-26, 2.25, , 2.50, 2.3200, 2.20, 2.50, 0.0, 0.0, Not available, 64645, 0.0, 2732.0, , , , , 
2026-06-25, 2.25, 2.2868, 2.50, 2.3100, 2.20, 2.50, 0.0, 0.0, Not available, 63115, 15125.0, 2950.0, , , , , 
2026-06-24, 2.25, 2.2915, 2.50, 2.3000, 2.20, 2.50, 0.0, 0.0, Not available, 60189, 0.0, 2795.0, , , , , 
2026-06-23, 2.25, 2.2988, 2.50, 2.3000, 2.20, 2.50, 0.0, 0.0, Not available, 61167, 0.0, 2195.0, , , , , 
2026-06-22, 2.25, 2.2864, 2.50, 2.3000, 2.20, 2.50, 7230.0, 0.0, Not available, 67498, 0.0, 2113.0, , , , , 
2026-06-19, 2.25, 2.2835, 2.50, 2.3300, 2.20, 2.50, 12000.0, 0.0, Not available, 72174, 0.0, 2668.0, , , , , 
2026-06-18, 2.25, 2.2856, 2.50, 2.3000, 2.20, 2.50, 8000.0, 0.0, Not available, 68906, 12000.0, 2368.0, , , , , 
2026-06-17, 2.25, 2.2758, 2.50, 2.2900, 2.20, 2.50, 8000.0, 0.0, Not available, 68367, 0.0, 2217.0, , , , , 
2026-06-16, 2.25, 2.2677, 2.50, 2.2800, 2.20, 2.50, 0.0, 0.0, Not available, 60333, 0.0, 2158.0, , , , , 
2026-06-15, 2.25, 2.2536, 2.50, 2.2700, 2.20, 2.50, 0.0, 0.0, Not available, 61440, 0.0, 2664.0, , , , , 
2026-06-12, 2.25, 2.2539, 2.50, 2.2700, 2.20, 2.50, 0.0, 0.0, Not available, 62729, 0.0, 2768.0, , , , , 
2026-06-11, 2.25, 2.2544, 2.50, 2.2700, 2.20, 2.50, 0.0, 0.0, Not available, 62295, 17225.0, 2482.0, , , , , 
2026-06-10, 2.25, 2.2468, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 62451, 0.0, 2658.0, , , , , 
2026-06-09, 2.25, 2.2454, 2.50, 2.2600, 2.20, 2.50, 0.0, 0.0, Not available, 63665, 0.0, 2685.0, , , , , 
2026-06-08, 2.25, 2.2493, 2.50, 2.2600, 2.20, 2.50, 0.0, 0.0, Not available, 61251, 0.0, 2823.0, , , , , 
2026-06-05, 2.25, 2.2573, 2.50, 2.2600, 2.20, 2.50, 0.0, 0.0, Not available, 61144, 0.0, 2473.0, , , , , 
2026-06-04, 2.25, 2.2456, 2.50, 2.2600, 2.20, 2.50, 0.0, 0.0, Not available, 58037, 12000.0, 2493.0, , , , , 
2026-06-03, 2.25, 2.2600, 2.50, 2.2800, 2.20, 2.50, 0.0, 0.0, Not available, 64251, 0.0, 3522.0, , , , , 
2026-06-02, 2.25, 2.2509, 2.50, 2.2600, 2.20, 2.50, 0.0, 0.0, Not available, 64367, 0.0, 2462.0, , , , , 
2026-06-01, 2.25, 2.2537, 2.50, 2.2600, 2.20, 2.50, 0.0, 0.0, Not available, 63872, 0.0, 1939.0, , , , , 
2026-05-29, 2.25, 2.2345, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 70946, 0.0, 2482.0, , , , , 
2026-05-28, 2.25, 2.2404, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 69482, 14590.0, 2358.0, , , , , 
2026-05-27, 2.25, 2.2403, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 70700, 0.0, 2169.0, , , , , 
2026-05-26, 2.25, 2.2397, 2.50, 2.2700, 2.20, 2.50, 0.0, 0.0, Not available, 68175, 0.0, 2076.0, , , , , 
2026-05-25, 2.25, 2.2380, 2.50, 2.2700, 2.20, 2.50, 0.0, 0.0, Not available, 66666, 0.0, 1932.0, , , , , 
2026-05-22, 2.25, 2.2411, 2.50, 2.2600, 2.20, 2.50, 0.0, 0.0, Not available, 69743, 0.0, 2144.0, , , , , 
2026-05-21, 2.25, 2.2543, 2.50, 2.2600, 2.20, 2.50, Bank holiday, Bank holiday, Not available, 70674, 15000.0, 2405.0, , , , , 
2026-05-20, 2.25, 2.2534, 2.50, 2.2600, 2.20, 2.50, 0.0, 0.0, Not available, 63673, 0.0, 2341.0, , , , , 
2026-05-19, 2.25, 2.2392, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 69641, 0.0, 2909.0, , , , , 
2026-05-18, 2.25, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday, Bank holiday, , Bank holiday, Bank holiday, , , , , 
2026-05-15, 2.25, 2.2443, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 68762, 0.0, 2332.0, , , , , 
2026-05-14, 2.25, 2.2455, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 69147, 12200.0, 2077.0, , , , , 
2026-05-13, 2.25, 2.2438, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 68240, 0.0, 2153.0, , , , , 
2026-05-12, 2.25, 2.2336, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 71262, 0.0, 2188.0, , , , , 
2026-05-11, 2.25, 2.2451, 2.50, 2.2500, 2.20, 2.50, 0.0, 0.0, Not available, 70415, 0.0, 2199.0, , , , , 
2026-05-08, 2.25, 2.2360, 2.50, 2.2600, 2.20, 2.50, 0.0, 0.0, Not available, 71596, 0.0, 1909.0, , , , , 
2026-05-07, 2.25, 2.2470, 2.50, 2.2700, 2.20, 2.50, 0.0, 0.0, Not available, 71811, 12000.0, 2092.0, , , , , 
2026-05-06, 2.25, 2.2580, 2.50, 2.2800, 2.20, 2.50, 0.0, 0.0, Not available, 63916, 0.0, 2713.0, , , , , 
2026-05-05, 2.25, 2.2431, 2.50, 2.2800, 2.20, 2.50, 0.0, 0.0, Not available, 65698, 0.0, 2104.0, , , , , 
2026-05-04, 2.25, 2.2605, 2.50, 2.3000, 2.20, 2.50, 12000.0, 0.0, Not available, 74913, 0.0, 2060.0, , , , , 
2026-05-01, 2.25, 2.2583, 2.50, 2.2800, 2.20, 2.50, 16000.0, 0.0, Not available, 80881, 0.0, 2163.0, , , , , 
2026-04-30, 2.25, 2.2760, 2.50, 2.3000, 2.20, 2.50, 13500.0, 0.0, Not available, 70905, 11000.0, 2050.0, , , , , 
2026-04-29, 2.25, 2.0413, 2.50, 2.3000, 2.20, 2.50, 13787.0, 0.0, Not available, 71499, 0.0, 1967.0, , , , , 
2026-04-28, 2.25, 2.2558, 2.50, 2.3000, 2.20, 2.50, 15120.0, 0.0, Not available, 76419, 0.0, 2141.0, , , , , 
2026-04-27, 2.25, 2.2610, 2.50, 2.3200, 2.20, 2.50, 14300.0, 0.0, Not available, 75883, 0.0, 2674.0, , , , , 
2026-04-24, 2.25, 2.2714, 2.50, 2.3300, 2.20, 2.50, 13643.0, 0.0, Not available, 76472, 0.0, 2664.0, , , , , 
2026-04-23, Bank holiday, 2.2735, 2.50, 2.3000, 2.20, 2.50, 0.0, 0.0, Not available, 62975, 6500.0, 2073.0, , , , , 
2026-04-22, 2.25, 2.2804, 2.50, 2.3000, 2.20, 2.50, 0.0, 0.0, Not available, 61671, 0.0, 1900.0, , , , , 
2026-04-21, 2.25, 2.2597, 2.50, 2.2800, 2.20, 2.50, 0.0, 0.0, Not available, 61739, 0.0, 2065.0, , , , , 
2026-04-20, 2.25, 2.2476, 2.50, 2.2800, 2.20, 2.50, 12693.0, 0.0, Not available, 73421, 0.0, 2861.0, , , , , 
