"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Inflation indicators"

"DESCRIPTION"
"A group of data series that measure various aspects of inflation in Canada, including price indexes and core inflation measures. These indicators are used to monitor inflation trends and inform monetary policy decisions."

"LINK"
"https://www.bankofcanada.ca/?p=47530"

"SERIES"
"id","label","description"
"STATIC_ATABLE_CPILL","Target range","The lower limit of the Bank of Canada’s inflation control target range for the year-over-year percentage change in the Consumer Price Index (CPI)."
"STATIC_ATABLE_CPIHL","Target range","The upper limit of the Bank of Canada’s inflation control target range for the year-over-year percentage change in the Consumer Price Index (CPI)."
"CPI_TRIM","CPI-trim","A measure of core inflation, published monthly, that excludes components of the Consumer Price Index (CPI) with the most extreme price movements."
"CPI_MEDIAN","CPI-median","The median year-over-year percentage change in the Consumer Price Index (CPI) components, a measure of core inflation published monthly."
"CPI_COMMON","CPI-common","The measure of common price changes across categories in the Consumer Price Index (CPI)."
"STATIC_ATABLE_V122544_V122553","Yield spread between convent. and Real Return bonds","The difference in yield between Government of Canada conventional bonds and Government of Canada Real Return Bonds."
"STATIC_ATABLE_V35014A","Average hourly earnings (LFS)","The average hourly earnings reported in the Labour Force Survey (LFS)."
"STATIC_ATABLE_BL800502","Average hourly earnings (SEPH)","The average hourly earnings reported in the Survey of Employment, Payrolls and Hours (SEPH)."

"OBSERVATIONS"
"date","STATIC_ATABLE_CPILL","STATIC_ATABLE_CPIHL","CPI_TRIM","CPI_MEDIAN","CPI_COMMON","STATIC_ATABLE_V122544_V122553","STATIC_ATABLE_V35014A","STATIC_ATABLE_BL800502"
"1995-01-01","","","1.8","1.7","1.1","","",""
"1995-02-01","","","1.8","1.8","1.2","","",""
"1995-03-01","","","1.9","1.8","1.5","","",""
"1995-04-01","","","2.1","1.9","1.5","","",""
"1995-05-01","","","2.3","2.1","1.9","","",""
"1995-06-01","","","2.3","2.1","1.8","","",""
"1995-07-01","","","2.2","2.1","2.0","","",""
"1995-08-01","","","2.1","2.1","2.0","","",""
"1995-09-01","","","2.2","2.0","1.9","","",""
"1995-10-01","","","2.0","2.0","2.0","","",""
"1995-11-01","","","1.9","1.7","1.8","","",""
"1995-12-01","","","1.7","1.5","1.6","","",""
"1996-01-01","1","3","1.5","1.5","1.3","3.07","",""
"1996-02-01","1","3","1.5","1.4","1.2","3.20","",""
"1996-03-01","1","3","1.4","1.3","1.2","3.24","",""
"1996-04-01","1","3","1.2","1.3","1.3","3.27","",""
"1996-05-01","1","3","1.2","1.2","1.3","3.29","",""
"1996-06-01","1","3","1.2","1.3","1.3","3.36","",""
"1996-07-01","1","3","1.2","1.2","1.2","3.24","",""
"1996-08-01","1","3","1.1","1.2","1.2","3.09","",""
"1996-09-01","1","3","1.1","1.3","1.3","3.17","",""
"1996-10-01","1","3","1.3","1.3","1.4","2.98","",""
"1996-11-01","1","3","1.4","1.4","1.5","2.78","",""
"1996-12-01","1","3","1.4","1.4","1.6","3.00","",""
"1997-01-01","1","3","1.3","1.4","1.6","3.19","",""
"1997-02-01","1","3","1.3","1.3","1.6","2.95","",""
"1997-03-01","1","3","1.3","1.3","1.7","2.99","",""
"1997-04-01","1","3","1.3","1.3","1.6","2.94","",""
"1997-05-01","1","3","1.2","1.3","1.5","2.81","",""
"1997-06-01","1","3","1.3","1.2","1.6","2.54","",""
"1997-07-01","1","3","1.1","1.1","1.5","2.37","",""
"1997-08-01","1","3","1.2","1.2","1.5","2.42","",""
"1997-09-01","1","3","1.1","1.0","1.4","2.25","",""
"1997-10-01","1","3","1.0","1.1","1.4","2.03","",""
"1997-11-01","1","3","0.8","0.9","1.2","1.91","",""
"1997-12-01","1","3","0.8","0.9","1.3","1.81","",""
"1998-01-01","1","3","1.1","1.1","1.4","1.70","",""
"1998-02-01","1","3","1.1","1.2","1.6","1.72","",""
"1998-03-01","1","3","0.9","1.1","1.5","1.67","",""
"1998-04-01","1","3","0.9","1.2","1.5","1.81","",""
"1998-05-01","1","3","0.9","1.2","1.6","1.71","",""
"1998-06-01","1","3","0.9","1.2","1.6","1.67","",""
"1998-07-01","1","3","1.1","1.2","1.7","1.74","",""
"1998-08-01","1","3","1.1","1.2","1.7","1.73","",""
"1998-09-01","1","3","1.0","1.2","1.8","1.30","",""
"1998-10-01","1","3","1.2","1.2","1.8","1.38","",""
"1998-11-01","1","3","1.2","1.3","2.0","1.30","",""
"1998-12-01","1","3","1.1","1.2","1.9","1.12","",""
"1999-01-01","1","3","1.0","1.1","1.9","1.13","",""
"1999-02-01","1","3","1.0","1.1","1.7","1.30","",""
"1999-03-01","1","3","1.2","1.1","1.8","1.20","",""
"1999-04-01","1","3","1.3","1.1","2.0","1.32","",""
"1999-05-01","1","3","1.3","1.1","2.0","1.50","",""
"1999-06-01","1","3","1.2","1.1","2.0","1.60","",""
"1999-07-01","1","3","1.3","1.2","1.9","1.72","",""
"1999-08-01","1","3","1.3","1.1","1.8","1.65","",""
"1999-09-01","1","3","1.6","1.3","1.9","1.86","",""
"1999-10-01","1","3","1.5","1.3","1.8","2.31","",""
"1999-11-01","1","3","1.5","1.3","1.8","2.06","",""
"1999-12-01","1","3","1.6","1.5","1.8","2.22","",""
"2000-01-01","1","3","1.5","1.3","1.4","2.25","",""
"2000-02-01","1","3","1.6","1.4","1.7","1.91","",""
"2000-03-01","1","3","1.6","1.4","1.8","2.04","",""
"2000-04-01","1","3","1.5","1.4","1.5","2.28","",""
"2000-05-01","1","3","1.6","1.5","1.6","1.82","",""
"2000-06-01","1","3","1.8","1.6","1.6","1.84","",""
"2000-07-01","1","3","1.8","1.6","1.8","1.90","",""
"2000-08-01","1","3","1.9","1.7","1.9","1.84","",""
"2000-09-01","1","3","1.8","1.6","1.8","2.07","",""
"2000-10-01","1","3","1.9","1.7","1.8","2.09","",""
"2000-11-01","1","3","2.0","1.8","2.0","2.00","",""
"2000-12-01","1","3","2.1","1.9","2.1","2.14","",""
"2001-01-01","1","3","2.2","2.0","2.3","2.36","",""
"2001-02-01","1","3","2.2","2.1","2.3","2.27","",""
"2001-03-01","1","3","2.2","2.2","2.3","2.34","",""
"2001-04-01","1","3","2.4","2.2","2.5","2.36","",""
"2001-05-01","1","3","2.4","2.2","2.5","2.45","",""
"2001-06-01","1","3","2.4","2.2","2.5","2.36","",""
"2001-07-01","1","3","2.5","2.3","2.6","2.28","",""
"2001-08-01","1","3","2.4","2.2","2.5","1.99","",""
"2001-09-01","1","3","2.3","2.3","2.5","2.18","",""
"2001-10-01","1","3","2.2","2.2","2.6","1.71","",""
"2001-11-01","1","3","1.9","2.0","2.3","1.91","",""
"2001-12-01","1","3","1.9","2.0","2.4","1.93","",""
"2002-01-01","1","3","2.0","2.1","2.3","1.95","",""
"2002-02-01","1","3","2.0","2.0","2.4","1.96","",""
"2002-03-01","1","3","2.0","2.0","2.3","2.30","",""
"2002-04-01","1","3","2.1","2.0","2.4","2.29","",""
"2002-05-01","1","3","2.0","2.0","2.2","2.24","",""
"2002-06-01","1","3","1.9","2.1","2.2","2.32","",""
"2002-07-01","1","3","1.9","2.0","2.2","2.28","",""
"2002-08-01","1","3","2.1","2.2","2.3","2.18","",""
"2002-09-01","1","3","2.1","2.2","2.2","2.18","",""
"2002-10-01","1","3","2.1","2.1","2.0","2.18","",""
"2002-11-01","1","3","2.3","2.2","2.3","2.15","",""
"2002-12-01","1","3","2.2","2.2","2.1","2.09","",""
"2003-01-01","1","3","2.2","2.2","2.3","2.27","",""
"2003-02-01","1","3","2.3","2.4","2.2","2.40","",""
